ORNEK_NO,old_id,new_id,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,PLANDAKI_MESCERE_TIPI,AKTUEL_MES_TIP,BONITET,BOLME_NO,EGIM,BAKI,RAKIM,UTM_X,UTM_Y,IL_ADI,ILCE_ADI,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,LOKAL_KONUM,ONCEKI_ARAZI,MEVCUT_ARAZI,STATU_VE_TESCIL,STATUSU,TKGM_2021_,TAPUCINSAC,PARSEL_TUR,ARAZI_KUL,ISLETME_DURUMU,ORMAN_FORMU,MULKIYET,KATLILIK_DURUMU,GELISIM_CAGI,KORUMA_AMACLI_ONLEM,KORUMA_AMACLI_ONLEM_SEKLI,İŞLETME_AMAÇLARI,DOGAL_GENCLIK,DAGILIM,DIGER_VEJETASYON_TURU,DIGER_VEJETASYON_TIPI,YUZEYSEL_TASLIK,DIS_TOPRAK,DIS_TOPRAK_ORTULU,DIS_TOPRAK_CIPLAK_DURUMU,OLU_ORTU_TIPI,OLU_ORTU_TIPI_ESAS_TUR_KARISIMI,OLU_ORTU_KALINLIGI_MUL,OLU_ORTU_KALINLIGI_HUMUS,OLU_ORTU_CURUNTULU_MUL,ENVANTER_EKIBI,ENVANTER_TARIHI,YIL,BLOK,INTERSEPSIYON,TRANSPIRASYON,EVAPORASYON,KAYIP,VERIM,ORT_YAGIS,ORT_SICAKLIK
2800,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.410365,41.252003,MlMcab3,MlMcab3,3,152,21,Güney,59,450600,4566900,Edirne,Meriç,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Üst Yamaç,Orman,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,Sosyal Baskılı Alanlar,Yok,,,,,,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,,"0,60",,ERGİN ÇAĞATAY ÇANKAYA,22-07-2020,2020,5,44.895,47.355,107.625,199.875,415.125,615,13.6
5416,,,İSTANBUL,EDİRNE,MERİÇ,26.482616,41.17128,Çkab2,Çkab2,3,420,5,Güney,77,456600,4557900,Edirne,Meriç,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI,Orta Kapalı,Taban,Bilinmiyor,Orman,Statüsüz,,Orman Degil, ,2,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Yok,,,Yok,5,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Saf İbreli,2,,2,ERGİN ÇAĞATAY ÇANKAYA,16-08-2022,2022,2,46.282,48.818,110.95,206.05,427.95,634,13.4
8634,,,İSTANBUL,EDİRNE,MERİÇ,26.553223,41.306692,Mcab2,Mcab2,3,16,45,Kuzey Doğu,58,462600,4572900,Edirne,Meriç,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Taban,Orman,Orman,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Orta,Heterojen,"söğüt, böğürtlen ,karaçalı,kavak",Bataklık Vejetasyonu,2,Örtülü,Yabanlaşmış,,Çürüntü Mul,Saf Yapraklı,2,,1,ERGİN ÇAĞATAY ÇANKAYA,18-12-2021,2021,1,24.57,25.83,110.25,160.65,469.35,630,13.5
8654,,,İSTANBUL,EDİRNE,MERİÇ,26.553591,41.252647,OT,OT,0,83,2,Düzlük,92,462600,4566900,Edirne,Meriç,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,YAPRAKLI+YAPRAKLI,Boşluklu Kapalı,Tepe,Mera/Çayır,Mera/Çayır,Statüsüz,,Orman,ORMAN,1,İSKAN,İşletilmeyen ,Açıklık Alan,Devlet Ormanı,Yok,,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Yok,,,Yok,,Örtülü,Yabanlaşmış,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,03-08-2023,2023,3,24.96,26.24,112,163.2,476.8,640,13.3
10612,,,İSTANBUL,EDİRNE,LALAPAŞA,26.58527,41.901292,BÇk,BÇk,0,136,28,Doğu,126,465600,4638900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,IBRELI,Boşluklu Kapalı,Alt Yamaç,Bilinmiyor,Orman,Statüsüz,,Orman,ORMAN,1,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Yok,,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Yok,,,Yok,10,Örtülü,Ölü Örtü Kaplı,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,18-07-2021,2021,1,23.829,25.051,106.925,155.805,455.195,611,12.8
10622,,,İSTANBUL,EDİRNE,LALAPAŞA,26.585445,41.874272,BMl,BMl,0,205,85,Güney Batı,70,465600,4635900,Edirne,Merkez,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,Bilinmiyor,Orman,Statülü,Diğer,Orman,ORMAN,1,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,,Koruma Amaçlı Önlem Yok,,Ulusal Sınır ve Stratejik Alanlar,Yok,,,Yok,70,Örtülü,Yabanlaşmış,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,01-08-2022,2022,2,23.4,24.6,105,153,447,600,13.1
10796,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.590241,41.117665,Me,Me,0,491,4,Düzlük,45,465600,4551900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Kadastro Dışı Ağaçlık Alan ,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,05-08-2020,2020,5,25.038,26.322,112.35,163.71,478.29,642,13.6
13422,,,İSTANBUL,EDİRNE,EDİRNE,26.622233,41.766316,Z,Z,0,458,20,Dere İçi,101,468600,4623900,Edirne,Merkez,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Boşluklu Kapalı,Taban,Ziraat,Orman,Statüsüz,,Orman Degil, ,,ZİRAAT,İşletilmeyen ,Aynıyaşlı Maktalı,Devlet Ormanı,İki Katlı,,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Yok,,,Dere Vejetasyonu,,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,2,,2,ERGİN ÇAĞATAY ÇANKAYA,04-08-2023,2023,3,23.244,24.436,104.3,151.98,444.02,596,13.4
13653,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.626282,41.063739,Mzab2,Mzab2,3,495,9,Kuzey Batı,94,468600,4545900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Orta Yamaç,Orman,Orman,Statüsüz,,Orman,B. IŞIKLAR DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Yok,B,2,,Sosyal Baskılı Alanlar,Yok,,,,,,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,,2,,ERGİN ÇAĞATAY ÇANKAYA,05-08-2019,2019,4,47.742,50.358,114.45,212.55,441.45,654,13.5
16738,,,İSTANBUL,EDİRNE,LALAPAŞA,26.657316,41.95557,Z,Z,0,142,5,Düzlük,383,471600,4644900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Tepe,Ziraat,Ziraat,Statüsüz,,Orman Degil, ,2,ZİRAAT,Yok,Açıklık Alan,Özel Orman,Yok,,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Yok,Yok,,Yok,,Çıplak,,Yumuşak,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,04-08-2023,2023,3,24.648,25.912,110.6,161.16,470.84,632,12.1
16748,,,İSTANBUL,EDİRNE,EDİRNE,26.657461,41.92855,Çka0,Çka0,2,141,13,Doğu,270,471600,4641900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Gevşek Kapalı,Alt Yamaç,Orman,Orman,Statüsüz,,Orman,İĞREK KAYA DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,A,2,,En Yüksek Miktarda Yapacak Odun Üretimi,Yok,,,,10,,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,,"0,20",,ERGİN ÇAĞATAY ÇANKAYA,23-07-2019,2019,4,46.136,48.664,110.6,205.4,426.6,632,12.1
20212,,,İSTANBUL,EDİRNE,EDİRNE,26.693515,41.955672,Mlab2,Mlab2,1,71,10,Kuzey,413,474600,4644900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Orta Yamaç,Orman,Orman,Statüsüz,,Orman,TEKKE KORU DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,En Yüksek Miktarda Yapacak Odun Üretimi,Yok,,,,1,,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,,"0,20",,ERGİN ÇAĞATAY ÇANKAYA,23-07-2020,2020,5,47.304,49.896,113.4,210.6,437.4,648,11.7
20412,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.696069,41.41525,Msbc2,Msbc2,3,3,0,Güney Doğu,50,474600,4584900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Taban,Orman,Orman,Statüsüz,,Orman Degil, ,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,B,2,,En Yüksek Miktarda Yapacak Odun Üretimi,Az,Heterojen,,Yok,,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,,"0,20",,ERGİN ÇAĞATAY ÇANKAYA,22-07-2020,2020,5,46.428,48.972,111.3,206.7,429.3,636,13.4
20492,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ ,26.697071,41.199067,Çkbc3,Çkbc3,3,186,5,Düzlük,83,474600,4560900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Tohum+Sürgün ,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Tepe,Bilinmiyor,Orman,Statüsüz,,Orman,BÜLBÜL KORUSU DEVLET ORMANI,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,İki Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Orta,Heterojen,,Yok,,Örtülü,Yeşillenmiş,,Çürüntülü Yaprak,Yapraklı + İbreli Karışık,1,,1,ERGİN ÇAĞATAY ÇANKAYA,02-08-2023,2023,3,47.742,50.358,114.45,212.55,441.45,654,13.5
23854,,,İSTANBUL,EDİRNE,LALAPAŞA,26.729827,41.928743,Z,Z,0,160,2,Düzlük,340,477600,4641900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Tepe,Ziraat,Ziraat,Statüsüz,,Orman Degil, ,2,ZİRAAT,Yok,Açıklık Alan,Özel Orman,Yok,,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Yok,Yok,,Yok,,Çıplak,,Yumuşak,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,04-08-2023,2023,3,25.194,26.486,113.05,164.73,481.27,646,11.8
23874,,,İSTANBUL,EDİRNE,EDİRNE,26.730055,41.874703,Z,Z,0,287,11,Düzlük,232,477600,4635900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Kadastro Dışı Ağaçlık Alan ,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,23-07-2020,2020,5,23.907,25.133,107.275,156.315,456.685,613,12.8
24034,,,İSTANBUL,EDİRNE,EDİRNE,26.731855,41.442362,MzGnab2,MzGnab2,1,520,8,Kuzey Doğu,100,477600,4587900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,Taban,Orman,Orman,Statüsüz,,Orman Degil, ,,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Az,Heterojen,,Yok,5,Örtülü,Yabanlaşmış,,Çürüntü Mul,Yapraklı Karışık,1,,1,ERGİN ÇAĞATAY ÇANKAYA,09-01-2021,2021,1,46.428,48.972,111.3,206.7,429.3,636,13.3
24124,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.73285,41.199156,Ö.A,Ö.A,0,192,0,Güney Batı,104,477600,4560900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Açıklık Alan,YAPRAKLI,Boşluklu Kapalı,Orta Yamaç,Orman,Orman,Statüsüz,,Orman,orman,,İSKAN,İşletilmeyen ,Açıklık Alan,Devlet Ormanı,Yok,,1,Şekil Doldurulacak,ÖZEL AĞAÇLANDIRMA,Yok,,,,,,Yeşillenmiş,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,21-07-2020,2020,5,25.701,27.019,115.325,168.045,490.955,659,13.3
24203,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.733833,40.955939,Me,Me,0,641,14,Düzlük,129,477600,4533900,Tekirdağ,Malkara,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Üst Yamaç,Mera/Çayır,Mera/Çayır,Statüsüz,,Orman Degil, ,,İSKAN,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Kadastro Dışı Ağaçlık Alan ,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,05-08-2019,2019,4,26.247,27.593,117.775,171.615,501.385,673,13.3
24236,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.734373,40.820814,Çzc3*,Çzc3*,3,53,19,Batı,182,477600,4518900,Edirne,Keşan,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Normal Kapalı,Alt Yamaç,Orman,Orman,Statüsüz,,Orman,Orman,,ORMAN,İşletilen Orman,Değişikyaşlı ve Düşey Kapalı,Devlet Ormanı,Çok Katlı,C,2,,En Yüksek Miktarda Yapacak Odun Üretimi,Yok,,,,15,,Yeşillenmiş,,Ham Humus,Saf Yapraklı,,"0,20",,ERGİN ÇAĞATAY ÇANKAYA,27-07-2019,2019,4,49.786,52.514,119.35,221.65,460.35,682,13.3
28023,,,İSTANBUL,EDİRNE,EDİRNE,26.766011,41.928823,Z,Z,0,161,10,Düzlük,341,480600,4641900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Kadastro Dışı Ağaçlık Alan ,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,23-07-2020,2020,5,25.389,26.691,113.925,166.005,484.995,651,11.7
28173,,,İSTANBUL,EDİRNE,EDİRNE,26.767477,41.523507,Z,Z,0,520,7,Düzlük,102,480600,4596900,Edirne,Havsa,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Kadastro Dışı Ağaçlık Alan ,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,05-08-2020,2020,5,24.258,25.502,108.85,158.61,463.39,622,13.5
28213,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.767863,41.415417,Z,Z,0,8,9,Düzlük,94,480600,4584900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Kadastro Dışı Ağaçlık Alan ,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,22-07-2019,2019,4,25.077,26.363,112.525,163.965,479.035,643,13.4
28223,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.767959,41.388395,Z,Z,0,13,8,Düzlük,100,480600,4581900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Kadastro Dışı Ağaçlık Alan ,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,22-07-2020,2020,5,25.077,26.363,112.525,163.965,479.035,643,13.4
28233,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ ,26.768055,41.361372,Me,Me,0,13,2,Düzlük,115,480600,4578900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,IBRELI,Boşluklu Kapalı,Tepe,Mera/Çayır,Mera/Çayır,Statülü,Diğer,,,,,İşletilmeyen ,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,,Koruma Amaçlı Önlem Yok,,Kadastro Dışı Ağaçlık Alan ,Az,Heterojen,,Yok,5,Örtülü,Yeşillenmiş,,Çürüntü Mul,Saf İbreli,1,,1,ERGİN ÇAĞATAY ÇANKAYA,09-01-2022,2021,1,25.272,26.568,113.4,165.24,482.76,648,13.3
28303,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ ,26.768724,41.172209,Ö.A,Ö.A,0,199,10,Kuzey,158,480600,4557900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Alt Yamaç,Ziraat,Orman,Statüsüz,,Orman,ÇAKIL BAYIRI DEVLET ORMANI,1,ZİRAAT,Yok,Açıklık Alan,Devlet Ormanı,Yok,,Koruma Amaçlı Önlem Var,Tel çit,ÖZEL AĞAÇLANDIRMA,Yok,Yok,,Yok,,Çıplak,,Yumuşak,Yaprak,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,02-08-2023,2023,3,25.779,27.101,115.675,168.555,492.445,661,13.3
28313,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.768818,41.145186,BMc,BMc,0,314,19,Kuzey Doğu,200,480600,4554900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Baltalık,YAPRAKLI+IBRELI,Normal Kapalı,Orta Yamaç,Orman,Orman,Statüsüz,,Orman,ORMAN(HARMANLI DERESİ DEVLET ORMANI),1,İSKAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,,2,,En Yüksek Miktarda Yapacak Odun Üretimi,Yok,,,,,,Yeşillenmiş,,Ham Humus,Saf Yapraklı,,,,ERGİN ÇAĞATAY ÇANKAYA,21-07-2019,2019,4,26.13,27.47,117.25,170.85,499.15,670,13.1
28323,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.768913,41.118162,McMlab3,McMlab3,3,319,9,Güney,220,480600,4551900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Normal Kapalı,Taban,Orman,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Değişikyaşlı ve Düşey Kapalı,Devlet Ormanı,Çok Katlı,B,2,,En Yüksek Miktarda Yapacak Odun Üretimi,Yok,,,,,,Yeşillenmiş,,Ham Humus,Saf Yapraklı,,"0,50",,ERGİN ÇAĞATAY ÇANKAYA,21-07-2020,2020,5,48.983,51.667,117.425,218.075,452.925,671,13.1
28373,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.769386,40.98304,MzGna3,MzGna3,4,643,12,Güney,195,480600,4536900,Tekirdağ,Malkara,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Orta Kapalı,Taban,Orman,Orman,Statüsüz,,Orman,XXX KURU GÖLCÜK DEVLET ORMANI,,ZİRAAT,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,A,1,Şekil Doldurulacak,Sosyal Baskılı Alanlar,Yok,,,,,,Yabanlaşmış,,Ham Humus,Saf Yapraklı,,"0,50",,ERGİN ÇAĞATAY ÇANKAYA,05-08-2020,2020,5,49.421,52.129,118.475,220.025,456.975,677,13.1
28423,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.769855,40.847916,Mkra3,Mkra3,5,9,24,Güney,153,480600,4521900,Tekirdağ,Malkara,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Orta Yamaç,Orman,Orman,Statüsüz,,Orman,Orman,1,ZİRAAT,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,A,2,,Toprak Koruma,Orta,Heterojen,,Yok,,,Ölü Örtü Kaplı,,Ham Humus,Saf Yapraklı,,"0,10",,ERGİN ÇAĞATAY ÇANKAYA,27-07-2020,2020,5,50.151,52.899,120.225,223.275,463.725,687,13.1
28433,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.769948,40.820891,Çzc3*,Çzc3*,3,49,30,Doğu,160,480600,4518900,Tekirdağ,Malkara,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI+YAPRAKLI,Normal Kapalı,Orta Yamaç,Orman,Orman,Statüsüz,,Orman,Orman,,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,C,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Yok,,,Yok,5,Örtülü,Ölü Örtü Kaplı,,Ham Humus,Yapraklı + İbreli Karışık,3,1,1,ERGİN ÇAĞATAY ÇANKAYA,05-01-2022,2021,1,49.786,52.514,119.35,221.65,460.35,682,13.3
32474,,,İSTANBUL,EDİRNE,LALAPAŞA,26.802195,41.928891,Çkab2,Çkab2,1,229,30,Güney Doğu,334,483600,4641900,Edirne,Lalapaşa,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,IBRELI,Normal Kapalı,Orta Yamaç,Bilinmiyor,Orman,Statüsüz,,Orman,ORMAN,,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Yok,,,Yok,8,Örtülü,Ölü Örtü Kaplı,,Ham Humus,Saf İbreli,3,1,1,ERGİN ÇAĞATAY ÇANKAYA,01-08-2022,2022,2,47.231,49.819,113.225,210.275,436.725,647,11.8
32784,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ ,26.804728,41.091204,MlMzab3,MlMzab3,3,464,40,Güney Batı,242,483600,4548900,Edirne,Uzunköprü,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Orta Yamaç,Bilinmiyor,Orman,Statüsüz,,Orman,ORMAN,1,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Tek Katlı,B,Koruma Amaçlı Önlem Yok,,En Yüksek Miktarda Yapacak Odun Üretimi,Az,Heterojen,,Yok,,Örtülü,Ölü Örtü Kaplı,,Çürüntülü Yaprak,Yapraklı Karışık,2,,2,ERGİN ÇAĞATAY ÇANKAYA,02-08-2023,2023,3,50.078,52.822,120.05,222.95,463.05,686,12.6
32854,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.805286,40.902032,Z,Z,0,753,8,Düzlük,225,483600,4527900,Tekirdağ,Malkara,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Bilinmiyor,Bilinmiyor,Statüsüz,,,,,,İşletilmeyen ,Açıklık Alan,Özel,Yok,,-1,,Kadastro Dışı Ağaçlık Alan ,Yok,,,,,,Yok,,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,05-08-2020,2020,5,26.793,28.167,120.225,175.185,511.815,687,13.1
32864,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.805365,40.875007,Mza3,Mza3,4,753,0,Kuzey Batı,190,483600,4524900,Tekirdağ,Malkara,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Sırt,Ziraat,Ziraat,Statüsüz,,Orman Degil, ,1,ZİRAAT,İşletilmeyen ,Açıklık Alan,Özel Orman,Yok,A,Koruma Amaçlı Önlem Yok,,Sosyal Baskılı Alanlar,Yok,,,Yok,,Çıplak,,Yumuşak,Yok,Yok,,,,ERGİN ÇAĞATAY ÇANKAYA,05-01-2022,2021,1,26.793,28.167,120.225,175.185,511.815,687,13.1
32904,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.805681,40.766905,ÇzÇkcd2,ÇzÇkcd2,3,391,21,Güney Doğu,139,483600,4512900,Tekirdağ,Malkara,Akdeniz kiyi kusagi,Tohum Kökenli,Koru,IBRELI,Orta Kapalı,Orta Yamaç,Orman,Orman,Statüsüz,,Orman Degil, ,,ORMAN,İşletilen Orman,Aynıyaşlı Maktalı,Devlet Ormanı,Çok Katlı,C,2,,En Yüksek Miktarda Yapacak Odun Üretimi,Yok,,,,2,,Yabanlaşmış,,Ham Humus,Saf Yapraklı,,"0,10",,ERGİN ÇAĞATAY ÇANKAYA,27-07-2020,2020,5,50.078,52.822,120.05,222.95,463.05,686,13.4
