ORNEK_NO,new_id,old_id,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,ENVANTER_TARIHI,AKTUEL_MES_TIP,BONITET,RAKIM,EGIM,BAKI,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,LOKAL_KONUM,BİTKİ_ÖRTÜSÜ_TÜR,ORTALAMA_BOY,ÖRTME_ORANI,DİĞER_ORTU_TURU,YIL,BLOK
78159,0,,İSTANBUL,TEKİRDAĞ,MALKARA,27.126368,41.172372,31-07-2023,Z,0,50,0,Kuzey Batı,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,Böğürtlen,1.3,30,,2023,3
83202,0,,İSTANBUL,KIRKLARELİ,TOPÇUKAYA ,27.164381,42.064043,05-08-2022,Mcd3,2,623,2,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Sırt,Böğürtlen,0.1,1,,2022,2
83202,0,,İSTANBUL,KIRKLARELİ,TOPÇUKAYA ,27.164381,42.064043,05-08-2022,Mcd3,2,623,2,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Sırt,Boğadikeni,1,3,,2022,2
83202,0,,İSTANBUL,KIRKLARELİ,TOPÇUKAYA ,27.164381,42.064043,05-08-2022,Mcd3,2,623,2,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Sırt,Kaldırık Otu,1,2,,2022,2
83202,0,,İSTANBUL,KIRKLARELİ,TOPÇUKAYA ,27.164381,42.064043,05-08-2022,Mcd3,2,623,2,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Sırt,Alıç,0.8,2,,2022,2
83202,0,,İSTANBUL,KIRKLARELİ,TOPÇUKAYA ,27.164381,42.064043,05-08-2022,Mcd3,2,623,2,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Sırt,Adi Üvez/Ayıt,1.5,3,,2022,2
83212,0,,İSTANBUL,KIRKLARELİ,TOPÇUKAYA ,27.164312,42.037024,06-08-2023,Mcd2,3,568,5,Güney Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI,Orta Kapalı,Üst Yamaç,,,,,2023,3
83252,0,,İSTANBUL,KIRKLARELİ,KOFCAZ,27.164034,41.928944,29-07-2022,OT,0,482,30,Güney,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Üst Yamaç,Devedikeni,0.5,2,,2022,2
83292,0,,İSTANBUL,KIRKLARELİ,KAYALI,27.163758,41.820862,13-12-2021,OT-T,0,245,18,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,Karaçalı,2.5,25,,2021,1
83292,0,,İSTANBUL,KIRKLARELİ,KAYALI,27.163758,41.820862,13-12-2021,OT-T,0,245,18,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,Yavşan/Pelin,0.1,1,,2021,1
83292,0,,İSTANBUL,KIRKLARELİ,KAYALI,27.163758,41.820862,13-12-2021,OT-T,0,245,18,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Boşluklu Kapalı,Alt Yamaç,Sığır Kuyruğu,0.1,2,,2021,1
83392,0,,İSTANBUL,KIRKLARELİ,LÜLEBURGAZ ,27.163074,41.550648,14-12-2021,Z,0,80,2,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Gevşek Kapalı,Taban,Dikenli Sarmaşık,1.5,10,,2021,1
83392,0,,İSTANBUL,KIRKLARELİ,LÜLEBURGAZ ,27.163074,41.550648,14-12-2021,Z,0,80,2,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Gevşek Kapalı,Taban,Böğürtlen,1.1,50,,2021,1
83412,0,,İSTANBUL,KIRKLARELİ,LÜLEBURGAZ ,27.162938,41.496604,09-08-2023,OT,0,131,2,Düzlük,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,YAPRAKLI,Boşluklu Kapalı,Tepe,,,,,2023,3
83592,0,,İSTANBUL,TEKİRDAĞ,MALKARA,27.161734,41.010182,14-12-2021,Z,0,138,5,Dere İçi,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Boşluklu Kapalı,Taban,,,,,2021,1
88540,0,,İSTANBUL,KIRKLARELİ,KOFCAZ,27.200387,41.982927,29-07-2022,KnGncd3,2,559,50,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Alt Yamaç,,,,,2022,2
88550,0,,İSTANBUL,KIRKLARELİ,KOFCAZ,27.200302,41.955907,05-08-2023,BMGn,0,604,8,Güney Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+YAPRAKLI,Normal Kapalı,Üst Yamaç,Alıç,1.3,5,,2023,3
88580,0,,İSTANBUL,KIRKLARELİ,KAYALI,27.200049,41.874846,13-12-2021,BÇkM,0,570,18,Kuzey Doğu,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,IBRELI+YAPRAKLI,Boşluklu Kapalı,Orta Yamaç,,,,,2021,1
93850,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.236801,42.036897,05-08-2022,Z,0,600,25,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Yabani Erik/Yunus Eriği/Alça,3,2,,2022,2
93850,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.236801,42.036897,05-08-2022,Z,0,600,25,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Kantaron,0.3,1,,2022,2
93850,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.236801,42.036897,05-08-2022,Z,0,600,25,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Eğrelti,0.5,4,,2022,2
93850,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.236801,42.036897,05-08-2022,Z,0,600,25,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Kangal Dikeni,0.15,1,,2022,2
93850,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.236801,42.036897,05-08-2022,Z,0,600,25,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Böğürtlen,0.2,5,,2022,2
93850,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.236801,42.036897,05-08-2022,Z,0,600,25,Batı,Karadeniz kiyi ardi iliman iklim kusagi,Açıklık Alan,Açıklık Alan,Açıklık Alan,Boşluklu Kapalı,Taban,Yabani elma,2,2,,2022,2
93860,0,,İSTANBUL,KIRKLARELİ,GÜLBABA,27.236701,42.009877,05-08-2023,ÇkMbc3,2,538,20,Kuzey Batı,Karadeniz kiyi ardi iliman iklim kusagi,Tohum+Sürgün ,Koru,YAPRAKLI+IBRELI,Normal Kapalı,Orta Yamaç,Alıç,2.5,1,,2023,3
