ORNEK_NO,new_id,old_id,BOLGE_ADI,MUDURLUK_ADI,SEFLIK_ADI,NAD_X,NAD_Y,IKLIM_TIPI,ORIJIN,ISLETME_SEKLI,KARISIM_SEKLI,KAPALILIK_DURUMU,AKTUEL_MES_TIP,BONITET,ENVANTER_TARIHI,PLANDAKI_MESCERE_TIPI,BOLME_NO,LOKAL_KONUM,EGIM,BAKI,RAKIM,DOGAL_GENCLIK,DAGILIM,DIGER_VEJETASYON_TURU,DIGER_VEJETASYON_TIPI,ANKAYA,ANKAYA_NOT,YUZEYSEL_TASLIK,DIS_TOPRAK,DIS_TOPRAK_ORTULU,DIS_TOPRAK_CIPLAK_DURUMU,OLU_ORTU_TIPI,OLU_ORTU_TIPI_ESAS_TUR_KARISIMI,OLU_ORTU_KALINLIGI_MUL,OLU_ORTU_KALINLIGI_HUMUS,OLU_ORTU_CURUNTULU_MUL,MUTLAK_DERINLIK,FIZYOLOJIK_DERINLIK,H1_HORIZON_TASLIGI,H2_HORIZON_TASLIGI,H3_HORIZON_TASLIGI,H4_HORIZON_TASLIGI,Horizon,pH,EC_mS_cm,Toplam_Kirec,Organik_Madde,Organik_Karbon,Kum,Kil,Toz,TOPRAK_TURU,Mutlak_Kuruda_Toplam_Agirlik,Mutlak_Kuruda_Tas_Agirligi,Hacim_Agirligi,Silindir_Çap,Silindir_Boy,Silindir_Hacmi,H1_HORIZON_KALINLIGI,H2_HORIZON_KALINLIGI,H3_HORIZON_KALINLIGI,H4_HORIZON_KALINLIGI,YIL,BLOK,horizon_kalinlik,organik_karbon_stok_ton_ha,organik_madde_stok_ton_ha,toplam_kirec_stok_ton_ha,kum_stok_ton_ha,kil_stok_ton_ha,toz_stok_ton_ha,organik_karbon_stok_ton,organik_madde_stok_ton,toplam_kirec_stok_ton,kum_stok_ton,kil_stok_ton,toz_stok_ton,organik_madde_ton,organik_karbon_ton
20212,,,İSTANBUL,EDİRNE,EDİRNE,26.693515,41.955672,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI,Orta Kapalı,Mlab2,1,23-07-2020,Mlab2,71,Orta Kapalı,10,Kuzey,413,Yok,,,,Numune Alınmadı,Ulaşılamadı,1,,Ölü Örtü Kaplı,1,Ham Humus,Saf Yapraklı,,"0,20",,95,95,0,2,5,0,B,6.2,0.03,0.01,0.6,0.35,37.58,28.91,33.52,Killi Balçık,990.4,44.7,0.9904,10.8,11,1007.1864,55,65,35,0,2020,5,30,10.3992,17.8272,0.29712,1116.57696,858.97392,995.94624,1.03992,1.78272,0.029712,111.657696,85.897392,99.594624,7.205148,4.203003
20412,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.696069,41.41525,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Msbc2,3,22-07-2020,Msbc2,3,Orta Kapalı,0,Güney Doğu,50,Yok,,,,Numune Alınmadı,Ulaşılamadı,,Örtülü,Ölü Örtü Kaplı,0,Çürüntülü Yaprak,Yapraklı Karışık,,"0,20",,95,95,0,0,0,0,A,6.58,0.07,0.01,2.16,1.25,41.03,26.21,32.76,Balçık,1149.3,16,1.1493,10.8,11,1007.1864,30,40,40,0,2020,5,30,43.09875,74.47464,0.34479,1414.67337,903.69459,1129.53204,4.309875,7.447464,0.034479,141.467337,90.369459,112.953204,9.471993,5.47149
20412,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.696069,41.41525,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Msbc2,3,22-07-2020,Msbc2,3,Orta Kapalı,0,Güney Doğu,50,Yok,,,,Numune Alınmadı,Ulaşılamadı,,Örtülü,Ölü Örtü Kaplı,0,Çürüntülü Yaprak,Yapraklı Karışık,,"0,20",,95,95,0,0,0,0,B,6.15,0.09,0.01,0.61,0.35,67.92,19.9,12.18,Kumlu Balçık,1106.3,22,1.1063,10.8,11,1007.1864,30,40,40,0,2020,5,30,11.61615,20.24529,0.33189,2254.19688,660.4611,404.24202,1.161615,2.024529,0.033189,225.419688,66.04611,40.424202,9.471993,5.47149
24034,,,İSTANBUL,EDİRNE,EDİRNE,26.731855,41.442362,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,MzGnab2,1,09-01-2021,MzGnab2,520,Orta Kapalı,8,Kuzey Doğu,100,Az,Heterojen,,Yok,Numune Alındı,Ulaşıldı,5,Örtülü,Yabanlaşmış,5,Çürüntü Mul,Yapraklı Karışık,1,,1,110,110,0,5,10,0,A,4.54,0.0411,0.055955602,3.534233099,1.767116549,45.27211919,24.32350258,30.40437823,Kumlu killi balçık,1051,30,1.013715038,10.8,11,1007.1864,0,10,100,0,2021,1,30,53.74057861,107.4811572,1.701691062,1376.790841,739.7130106,924.6412632,5.374057861,10.74811572,0.170169106,137.6790841,73.97130106,92.46412632,15.08917639,7.544588196
24034,,,İSTANBUL,EDİRNE,EDİRNE,26.731855,41.442362,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,YAPRAKLI+YAPRAKLI,Orta Kapalı,MzGnab2,1,09-01-2021,MzGnab2,520,Orta Kapalı,8,Kuzey Doğu,100,Az,Heterojen,,Yok,Numune Alındı,Ulaşıldı,5,Örtülü,Yabanlaşmış,5,Çürüntü Mul,Yapraklı Karışık,1,,1,110,110,0,5,10,0,B,4.79,0.02572,0.061842145,1.309451114,0.654725557,44.46729741,8.227067051,47.30563554,Kil,1126,13,1.105058607,10.8,11,1007.1864,0,10,100,0,2021,1,30,21.70530335,43.41060671,2.050175833,1474.169092,272.7417376,1568.264991,2.170530335,4.341060671,0.205017583,147.4169092,27.27417376,156.8264991,15.08917639,7.544588196
24124,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.73285,41.199156,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Açıklık Alan,YAPRAKLI,Boşluklu Kapalı,Ö.A,0,21-07-2020,Ö.A,192,Boşluklu Kapalı,0,Güney Batı,104,Az,Heterojen,,Yok,Numune Alınmadı,Ulaşılamadı,,,Yeşillenmiş,0,Yok,Yok,,,,101,101,0,0,0,0,A,5.54,0.04,0.01,0.58,0.34,72.31,13.64,14.04,Kumlu Balçık,1453,78.3,1.453,10.8,11,1007.1864,50,60,41,0,2020,5,30,14.8206,25.2822,0.4359,3151.9929,594.5676,612.0036,1.48206,2.52822,0.04359,315.19929,59.45676,61.20036,3.733248,2.175864
24124,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.73285,41.199156,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Açıklık Alan,YAPRAKLI,Boşluklu Kapalı,Ö.A,0,21-07-2020,Ö.A,192,Boşluklu Kapalı,0,Güney Batı,104,Az,Heterojen,,Yok,Numune Alınmadı,Ulaşılamadı,,,Yeşillenmiş,0,Yok,Yok,,,,101,101,0,0,0,0,B,5.99,0.03,0.02,0.33,0.19,59.64,28.13,12.23,Kumlu Killi Balçık,1217.2,148.6,1.2172,10.8,11,1007.1864,50,60,41,0,2020,5,30,6.93804,12.05028,0.73032,2177.81424,1027.19508,446.59068,0.693804,1.205028,0.073032,217.781424,102.719508,44.659068,3.733248,2.175864
24236,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.734373,40.820814,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Normal Kapalı,Çzc3*,3,27-07-2019,Çzc3*,53,Normal Kapalı,19,Batı,182,Yok,,,,Numune Alınmadı,Ulaşılamadı,15,,Yeşillenmiş,15,Ham Humus,Saf Yapraklı,,"0,20",,75,76,5,10,25,0,A,7.16,0.03,0.04,1.23,0.71,51.43,20,28.57,Balçık,1375.7,178.5,1.3757,10.8,11,1007.1864,40,50,51,0,2019,4,30,29.30241,50.76333,1.65084,2122.56753,825.42,1179.11247,2.930241,5.076333,0.165084,212.256753,82.542,117.911247,14.733189,8.536281
24236,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.734373,40.820814,Karadeniz kiyi ardi iliman iklim kusagi,Ekim ve Dikimli Gelen,Koru,IBRELI,Normal Kapalı,Çzc3*,3,27-07-2019,Çzc3*,53,Normal Kapalı,19,Batı,182,Yok,,,,Numune Alınmadı,Ulaşılamadı,15,,Yeşillenmiş,15,Ham Humus,Saf Yapraklı,,"0,20",,75,76,5,10,25,0,B,7.49,0.05,0.44,2.67,1.55,47.07,22.16,30.77,Balçık,1205.6,343.2,1.2056,10.8,11,1007.1864,40,50,51,0,2019,4,30,56.0604,96.56856,15.91392,1702.42776,801.48288,1112.88936,5.60604,9.656856,1.591392,170.242776,80.148288,111.288936,14.733189,8.536281
28233,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.768055,41.361372,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,IBRELI,Boşluklu Kapalı,Me,0,09-01-2022,Me,13,Boşluklu Kapalı,2,Düzlük,115,Yok,,,,Numune Alınmadı,Ulaşılamadı,5,Örtülü,Yeşillenmiş,5,Çürüntü Mul,Saf İbreli,1,,1,85,85,0,5,15,70,A,5.51,0.0407,0.060159343,2.071895097,1.035947549,41.08086144,28.44372206,30.4754165,Killi balçık,1191,0,1.182502067,10.8,11,1007.1864,0,10,65,10,2021,1,30,36.75030353,73.50060706,2.13415642,1457.346107,1009.042804,1081.11729,3.675030353,7.350060706,0.213415642,145.7346107,100.9042804,108.111729,12.89817471,6.449087355
28233,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.768055,41.361372,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,IBRELI,Boşluklu Kapalı,Me,0,09-01-2022,Me,13,Boşluklu Kapalı,2,Düzlük,115,Yok,,,,Numune Alınmadı,Ulaşılamadı,5,Örtülü,Yeşillenmiş,5,Çürüntü Mul,Saf İbreli,1,,1,85,85,0,5,15,70,B,5.98,0.0347,0.058634683,0.780423719,0.39021186,25.71959146,18.57010214,55.71030641,Kil,1243,0,1.234131041,10.8,11,1007.1864,0,10,65,10,2021,1,30,14.44717705,28.89435411,2.170886465,952.2403852,687.5381842,2062.614553,1.444717705,2.889435411,0.217088646,95.22403852,68.75381842,206.2614553,12.89817471,6.449087355
28233,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.768055,41.361372,Karadeniz kiyi ardi iliman iklim kusagi,Tohum Kökenli,Koru,IBRELI,Boşluklu Kapalı,Me,0,09-01-2022,Me,13,Boşluklu Kapalı,2,Düzlük,115,Az,Heterojen,,Yok,Numune Alınmadı,Ulaşılamadı,5,Örtülü,Yeşillenmiş,5,Çürüntü Mul,Saf İbreli,1,,1,85,85,0,5,15,70,C,5.86,0.0456,0.061207222,0.754518152,0.377259076,28.04276316,20.55921053,51.39802632,Kil,1183,0,1.174559148,10.8,11,1007.1864,0,10,65,10,2021,1,30,13.29339296,26.58678593,2.156745072,988.1365202,724.4402641,1811.10066,1.329339296,2.658678593,0.215674507,98.81365202,72.44402641,181.110066,12.89817471,6.449087355
28313,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.768818,41.145186,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Normal Kapalı,BMc,0,21-07-2019,BMc,314,Normal Kapalı,19,Kuzey Doğu,200,Az,Heterojen,,Yok,Numune Alınmadı,Ulaşılamadı,,,Yeşillenmiş,0,Ham Humus,Saf Yapraklı,,,,101,101,5,10,10,0,A,6.24,0.04,0.03,2.74,1.59,50.66,30.69,18.66,Kumlu Killi Balçık,1272.1,355.5,1.2721,10.8,11,1007.1864,30,40,61,0,2019,4,30,60.67917,104.56662,1.14489,1933.33758,1171.22247,712.12158,6.067917,10.456662,0.114489,193.333758,117.122247,71.212158,13.432032,7.809597
28313,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.768818,41.145186,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Normal Kapalı,BMc,0,21-07-2019,BMc,314,Normal Kapalı,19,Kuzey Doğu,200,Az,Heterojen,,Yok,Numune Alınmadı,Ulaşılamadı,,,Yeşillenmiş,0,Ham Humus,Saf Yapraklı,,,,101,101,5,10,10,0,B,6.2,0.03,0.02,0.82,0.48,31.66,53.3,15.04,Kil,1209.5,227.8,1.2095,10.8,11,1007.1864,30,40,61,0,2019,4,30,17.4168,29.7537,0.7257,1148.7831,1933.9905,545.7264,1.74168,2.97537,0.07257,114.87831,193.39905,54.57264,13.432032,7.809597
28323,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.768913,41.118162,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Normal Kapalı,McMlab3,3,21-07-2020,McMlab3,319,Normal Kapalı,9,Güney,220,Yok,,,,Numune Alınmadı,Ulaşılamadı,,,Yeşillenmiş,0,Ham Humus,Saf Yapraklı,,"0,50",,101,101,0,0,0,0,A,6.46,0.04,0.06,2.67,1.55,13.15,52.79,34.06,Kil,1000.1,8.3,1.0001,10.8,11,1007.1864,55,65,36,0,2020,5,30,46.50465,80.10801,1.80018,394.53945,1583.85837,1021.90218,4.650465,8.010801,0.180018,39.453945,158.385837,102.190218,10.300467,5.992683
28323,,,İSTANBUL,EDİRNE,UZUNKÖPRÜ,26.768913,41.118162,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Normal Kapalı,McMlab3,3,21-07-2020,McMlab3,319,Normal Kapalı,9,Güney,220,Yok,,,,Numune Alınmadı,Ulaşılamadı,,,Yeşillenmiş,0,Ham Humus,Saf Yapraklı,,"0,50",,101,101,0,0,0,0,B,8.15,0.11,34.06,0.58,0.34,21.27,43.32,35.41,Kil,1315.9,32.8,1.3159,10.8,11,1007.1864,55,65,36,0,2020,5,30,13.42218,22.89666,1344.58662,839.67579,1710.14364,1397.88057,1.342218,2.289666,134.458662,83.967579,171.014364,139.788057,10.300467,5.992683
28373,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.769386,40.98304,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Orta Kapalı,MzGna3,4,05-08-2020,MzGna3,643,Orta Kapalı,12,Güney,195,Yok,,,,Numune Alınmadı,Ulaşılamadı,,,Yabanlaşmış,0,Ham Humus,Saf Yapraklı,,"0,50",,91,91,0,0,5,0,A,7.39,0.1,0.16,6.09,3.53,23.62,44.38,32,Kil,986.2,3.8,0.9862,10.8,11,1007.1864,50,60,31,0,2020,5,30,104.43858,180.17874,4.73376,698.82132,1313.02668,946.752,10.443858,18.017874,0.473376,69.882132,131.302668,94.6752,19.957122,11.575086
28373,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.769386,40.98304,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,YAPRAKLI+IBRELI,Orta Kapalı,MzGna3,4,05-08-2020,MzGna3,643,Orta Kapalı,12,Güney,195,Yok,,,,Numune Alınmadı,Ulaşılamadı,,,Yabanlaşmış,0,Ham Humus,Saf Yapraklı,,"0,50",,91,91,0,0,5,0,B,7.92,0.14,41.36,0.72,0.42,1.73,54.17,44.09,Tozlu Kil,897.8,1.9,0.8978,10.8,11,1007.1864,50,60,31,0,2020,5,30,11.31228,19.39248,1113.99024,46.59582,1459.01478,1187.52006,1.131228,1.939248,111.399024,4.659582,145.901478,118.752006,19.957122,11.575086
28423,,,İSTANBUL,TEKİRDAĞ,MALKARA,26.769855,40.847916,Karadeniz kiyi ardi iliman iklim kusagi,Sürgün Kökenli,Koru,IBRELI+YAPRAKLI,Orta Kapalı,Mkra3,5,27-07-2020,Mkra3,9,Orta Kapalı,24,Güney,153,Yok,,,,Numune Alınmadı,Ulaşılamadı,,,Ölü Örtü Kaplı,0,Ham Humus,Saf Yapraklı,,"0,10",,101,101,0,0,5,15,A,6.58,0.04,0.01,1.63,0.95,7.46,53.29,39.25,Kil,955.8,19.5,0.9558,10.8,11,1007.1864,20,30,35,36,2020,5,30,27.2403,46.73862,0.28674,213.90804,1528.03746,1125.4545,2.72403,4.673862,0.028674,21.390804,152.803746,112.54545,9.747657,5.682645
